env,scenario,nEd,sf,oobPeriodNormal,oobPeriodFail,failStart,failEnd,seed,run,oobTx,oobRx,oobPdr,latP50,latWinP50,oobTxWin,oobRxWin,winPdr,inTxTotal,inAckRxTotal,inAckPdr,inTxWin,inAckRxWin,inAckWinPdr,detTdP50
outdoor,C2,20,12,900,120,600,1200,1,13,107,24,0.224299,1.48779,nan,80,0,0,18000,11500,0.638889,6000,0,0,21,
outdoor,C2,20,12,900,120,600,1200,1,14,112,29,0.258929,1.48779,nan,81,0,0,18000,11500,0.638889,6000,0,0,21,
outdoor,C2,20,12,900,120,600,1200,1,15,109,26,0.238532,1.48779,nan,80,0,0,18000,11500,0.638889,6000,0,0,21,
outdoor,C2,20,12,900,120,600,1200,1,16,110,27,0.245455,1.48779,nan,80,0,0,18000,11500,0.638889,6000,0,0,21,
outdoor,C2,20,12,900,120,600,1200,1,17,109,26,0.238532,1.48779,nan,80,0,0,18000,11500,0.638889,6000,0,0,21,
outdoor,C2,20,12,900,120,600,1200,1,18,111,29,0.261261,1.48779,nan,80,0,0,18000,11500,0.638889,6000,0,0,21,
outdoor,C2,20,12,900,120,600,1200,1,19,108,27,0.25,1.48779,nan,80,0,0,18000,11500,0.638889,6000,0,0,21,
outdoor,C2,20,12,900,120,600,1200,1,20,112,30,0.267857,1.48779,nan,81,0,0,18000,11500,0.638889,6000,0,0,21,
outdoor,C2,20,12,900,120,600,1200,1,21,106,24,0.226415,1.48779,nan,80,0,0,18000,11500,0.638889,6000,0,0,21,
outdoor,C2,20,12,900,120,600,1200,1,22,109,25,0.229358,1.48779,nan,82,0,0,18000,11500,0.638889,6000,0,0,21,
outdoor,C2,20,12,900,120,600,1200,1,23,105,22,0.209524,1.48779,nan,80,0,0,18000,11500,0.638889,6000,0,0,21,
outdoor,C2,20,12,900,120,600,1200,1,24,107,27,0.252336,1.48779,nan,80,0,0,18000,11500,0.638889,6000,0,0,21,
outdoor,C2,20,12,900,120,600,1200,1,25,112,27,0.241071,1.48779,nan,80,0,0,18000,11500,0.638889,6000,0,0,21,
outdoor,C2,20,12,900,120,600,1200,1,26,111,28,0.252252,1.48779,nan,80,0,0,18000,11500,0.638889,6000,0,0,21,
outdoor,C2,20,12,900,120,600,1200,1,27,111,24,0.216216,1.48779,nan,80,0,0,18000,11500,0.638889,6000,0,0,21,
outdoor,C2,20,12,900,120,600,1200,1,28,108,28,0.259259,1.48779,nan,80,0,0,18000,11500,0.638889,6000,0,0,21,
outdoor,C2,20,12,900,120,600,1200,1,29,109,29,0.266055,1.48779,nan,80,0,0,18000,11500,0.638889,6000,0,0,21,
outdoor,C2,20,12,900,120,600,1200,1,30,105,22,0.209524,1.48779,nan,80,0,0,18000,11500,0.638889,6000,0,0,21,
