env,scenario,nEd,sf,oobPeriodNormal,oobPeriodFail,failStart,failEnd,seed,run,oobTx,oobRx,oobPdr,latP50,latWinP50,oobTxWin,oobRxWin,winPdr,inTxTotal,inAckRxTotal,inAckPdr,inTxWin,inAckRxWin,inAckWinPdr,detTdP50
indoor,C2,20,7,900,120,600,1200,1,1,112,13,0.116071,0.0616131,nan,99,0,0,18000,11500,0.638889,6000,0,0,21,
indoor,C2,20,7,900,120,600,1200,1,2,107,11,0.102804,0.0616131,nan,96,0,0,18000,11500,0.638889,6000,0,0,21,
indoor,C2,20,7,900,120,600,1200,1,3,114,14,0.122807,0.061613,nan,100,0,0,18000,11500,0.638889,6000,0,0,21,
indoor,C2,20,7,900,120,600,1200,1,4,111,14,0.126126,0.061613,nan,97,0,0,18000,11500,0.638889,6000,0,0,21,
indoor,C2,20,7,900,120,600,1200,1,5,107,11,0.102804,0.061613,nan,95,0,0,18000,11500,0.638889,6000,0,0,21,
indoor,C2,20,7,900,120,600,1200,1,6,115,16,0.13913,0.061613,nan,99,0,0,18000,11500,0.638889,6000,0,0,21,
indoor,C2,20,7,900,120,600,1200,1,7,109,14,0.12844,0.061613,nan,95,0,0,18000,11500,0.638889,6000,0,0,21,
indoor,C2,20,7,900,120,600,1200,1,8,115,17,0.147826,0.0616131,nan,98,0,0,18000,11500,0.638889,6000,0,0,21,
indoor,C2,20,7,900,120,600,1200,1,9,114,12,0.105263,0.0616131,nan,102,0,0,18000,11500,0.638889,6000,0,0,21,
indoor,C2,20,7,900,120,600,1200,1,10,110,13,0.118182,0.0616131,nan,97,0,0,18000,11500,0.638889,6000,0,0,21,
indoor,C2,20,7,900,120,600,1200,1,11,113,16,0.141593,0.0616131,nan,97,0,0,18000,11500,0.638889,6000,0,0,21,
indoor,C2,20,7,900,120,600,1200,1,12,108,12,0.111111,0.061613,nan,96,0,0,18000,11500,0.638889,6000,0,0,21,
indoor,C2,20,7,900,120,600,1200,1,13,108,10,0.0925926,0.061613,nan,98,0,0,18000,11500,0.638889,6000,0,0,21,
indoor,C2,20,7,900,120,600,1200,1,14,113,13,0.115044,0.0616131,nan,99,0,0,18000,11500,0.638889,6000,0,0,21,
indoor,C2,20,7,900,120,600,1200,1,15,110,13,0.118182,0.0616131,nan,97,0,0,18000,11500,0.638889,6000,0,0,21,
indoor,C2,20,7,900,120,600,1200,1,16,111,14,0.126126,0.061613,nan,97,0,0,18000,11500,0.638889,6000,0,0,21,
indoor,C2,20,7,900,120,600,1200,1,17,110,15,0.136364,0.0616131,nan,96,0,0,18000,11500,0.638889,6000,0,0,21,
indoor,C2,20,7,900,120,600,1200,1,18,111,15,0.135135,0.0616131,nan,96,0,0,18000,11500,0.638889,6000,0,0,21,
indoor,C2,20,7,900,120,600,1200,1,19,108,12,0.111111,0.061613,nan,96,0,0,18000,11500,0.638889,6000,0,0,21,
indoor,C2,20,7,900,120,600,1200,1,20,113,13,0.115044,0.0616131,nan,100,0,0,18000,11500,0.638889,6000,0,0,21,
indoor,C2,20,7,900,120,600,1200,1,21,110,15,0.136364,0.061613,nan,95,0,0,18000,11500,0.638889,6000,0,0,21,
indoor,C2,20,7,900,120,600,1200,1,22,110,14,0.127273,0.061613,nan,96,0,0,18000,11500,0.638889,6000,0,0,21,
indoor,C2,20,7,900,120,600,1200,1,23,107,11,0.102804,0.0616131,nan,96,0,0,18000,11500,0.638889,6000,0,0,21,
