env,scenario,nEd,sf,oobPeriodNormal,oobPeriodFail,failStart,failEnd,seed,run,oobTx,oobRx,oobPdr,latP50,latWinP50,oobTxWin,oobRxWin,winPdr,inTxTotal,inAckRxTotal,inAckPdr,inTxWin,inAckRxWin,inAckWinPdr,detTdP50
indoor,C0,100,7,900,120,0,0,1,1,199,157,0.788945,0.0616136,nan,0,0,nan,90000,90000,1,0,0,nan,nan,
indoor,C0,100,7,900,120,0,0,1,2,200,162,0.81,0.0616136,nan,0,0,nan,90000,90000,1,0,0,nan,nan,
indoor,C0,100,7,900,120,0,0,1,3,199,180,0.904523,0.0616137,nan,0,0,nan,90000,90000,1,0,0,nan,nan,
indoor,C0,100,7,900,120,0,0,1,4,200,147,0.735,0.0616135,nan,0,0,nan,90000,90000,1,0,0,nan,nan,
indoor,C0,100,7,900,120,0,0,1,5,200,165,0.825,0.0616136,nan,0,0,nan,90000,90000,1,0,0,nan,nan,
indoor,C0,100,12,900,120,0,0,1,1,199,183,0.919598,1.48779,nan,0,0,nan,90000,90000,1,0,0,nan,nan,
indoor,C0,100,12,900,120,0,0,1,2,200,184,0.92,1.48779,nan,0,0,nan,90000,90000,1,0,0,nan,nan,
indoor,C0,100,12,900,120,0,0,1,3,199,187,0.939698,1.48779,nan,0,0,nan,90000,90000,1,0,0,nan,nan,
indoor,C0,100,12,900,120,0,0,1,4,200,188,0.94,1.48779,nan,0,0,nan,90000,90000,1,0,0,nan,nan,
indoor,C0,100,12,900,120,0,0,1,5,200,181,0.905,1.48779,nan,0,0,nan,90000,90000,1,0,0,nan,nan,
indoor,C1,100,7,900,120,600,1200,1,1,555,446,0.803604,0.0616136,0.0616136,484,389,0.803719,90000,57500,0.638889,30000,0,0,21,
indoor,C1,100,7,900,120,600,1200,1,2,551,455,0.825771,0.0616136,0.0616136,483,401,0.830228,90000,57500,0.638889,30000,0,0,21,
indoor,C1,100,7,900,120,600,1200,1,3,550,475,0.863636,0.0616137,0.0616137,484,417,0.86157,90000,57500,0.638889,30000,0,0,21,
indoor,C1,100,7,900,120,600,1200,1,4,556,446,0.802158,0.0616136,0.0616136,485,394,0.812371,90000,57500,0.638889,30000,0,0,21,
indoor,C1,100,7,900,120,600,1200,1,5,554,446,0.805054,0.0616136,0.0616136,486,386,0.794239,90000,57500,0.638889,30000,0,0,21,
indoor,C1,100,12,900,120,600,1200,1,1,547,386,0.705667,1.48779,1.48779,400,268,0.67,90000,57500,0.638889,30000,0,0,21,
indoor,C1,100,12,900,120,600,1200,1,2,549,397,0.723133,1.48779,1.48779,400,284,0.71,90000,57500,0.638889,30000,0,0,21,
indoor,C1,100,12,900,120,600,1200,1,3,545,376,0.689908,1.48779,1.48779,401,260,0.648379,90000,57500,0.638889,30000,0,0,21,
indoor,C1,100,12,900,120,600,1200,1,4,551,378,0.686025,1.48779,1.48779,401,261,0.650873,90000,57500,0.638889,30000,0,0,21,
indoor,C1,100,12,900,120,600,1200,1,5,548,386,0.70438,1.48779,1.48779,401,278,0.693267,90000,57500,0.638889,30000,0,0,21,
indoor,C2,100,7,900,120,600,1200,1,1,555,57,0.102703,0.0616136,nan,484,0,0,90000,57500,0.638889,30000,0,0,21,
indoor,C2,100,7,900,120,600,1200,1,2,551,54,0.0980036,0.0616136,nan,483,0,0,90000,57500,0.638889,30000,0,0,21,
indoor,C2,100,7,900,120,600,1200,1,3,550,58,0.105455,0.0616137,nan,484,0,0,90000,57500,0.638889,30000,0,0,21,
indoor,C2,100,7,900,120,600,1200,1,4,556,52,0.0935252,0.0616135,nan,485,0,0,90000,57500,0.638889,30000,0,0,21,
indoor,C2,100,7,900,120,600,1200,1,5,554,60,0.108303,0.0616136,nan,486,0,0,90000,57500,0.638889,30000,0,0,21,
indoor,C2,100,12,900,120,600,1200,1,1,547,118,0.215722,1.48779,nan,400,0,0,90000,57500,0.638889,30000,0,0,21,
indoor,C2,100,12,900,120,600,1200,1,2,549,113,0.205829,1.48779,nan,400,0,0,90000,57500,0.638889,30000,0,0,21,
indoor,C2,100,12,900,120,600,1200,1,3,545,116,0.212844,1.48779,nan,401,0,0,90000,57500,0.638889,30000,0,0,21,
indoor,C2,100,12,900,120,600,1200,1,4,551,117,0.212341,1.48779,nan,401,0,0,90000,57500,0.638889,30000,0,0,21,
indoor,C2,100,12,900,120,600,1200,1,5,548,108,0.19708,1.48779,nan,401,0,0,90000,57500,0.638889,30000,0,0,21,
outdoor,C0,100,7,900,120,0,0,1,1,199,178,0.894472,0.0616168,nan,0,0,nan,90000,90000,1,0,0,nan,nan,
outdoor,C0,100,7,900,120,0,0,1,2,200,172,0.86,0.0616167,nan,0,0,nan,90000,90000,1,0,0,nan,nan,
outdoor,C0,100,7,900,120,0,0,1,3,199,182,0.914573,0.0616169,nan,0,0,nan,90000,90000,1,0,0,nan,nan,
outdoor,C0,100,7,900,120,0,0,1,4,200,176,0.88,0.0616169,nan,0,0,nan,90000,90000,1,0,0,nan,nan,
outdoor,C0,100,7,900,120,0,0,1,5,200,175,0.875,0.0616169,nan,0,0,nan,90000,90000,1,0,0,nan,nan,
outdoor,C0,100,12,900,120,0,0,1,1,199,188,0.944724,1.48779,nan,0,0,nan,90000,90000,1,0,0,nan,nan,
outdoor,C0,100,12,900,120,0,0,1,2,200,188,0.94,1.48779,nan,0,0,nan,90000,90000,1,0,0,nan,nan,
