env,scenario,nEd,sf,oobPeriodNormal,oobPeriodFail,failStart,failEnd,seed,run,oobTx,oobRx,oobPdr,latP50,latWinP50,oobTxWin,oobRxWin,winPdr,inTxTotal,inAckRxTotal,inAckPdr,inTxWin,inAckRxWin,inAckWinPdr,detTdP50
outdoor,C1,20,7,900,120,600,1200,1,5,107,103,0.962617,0.0616144,0.0616144,95,91,0.957895,18000,11500,0.638889,6000,0,0,21,
outdoor,C1,20,12,900,120,600,1200,1,1,109,99,0.908257,1.48779,1.48779,81,74,0.91358,18000,11500,0.638889,6000,0,0,21,
outdoor,C1,20,12,900,120,600,1200,1,2,106,97,0.915094,1.48779,1.48779,81,73,0.901235,18000,11500,0.638889,6000,0,0,21,
outdoor,C1,20,12,900,120,600,1200,1,3,113,105,0.929204,1.48779,1.48779,80,74,0.925,18000,11500,0.638889,6000,0,0,21,
outdoor,C1,20,12,900,120,600,1200,1,4,108,105,0.972222,1.48779,1.48779,80,78,0.975,18000,11500,0.638889,6000,0,0,21,
outdoor,C1,20,12,900,120,600,1200,1,5,106,102,0.962264,1.48779,1.48779,80,76,0.95,18000,11500,0.638889,6000,0,0,21,
outdoor,C2,20,7,900,120,600,1200,1,1,112,13,0.116071,0.0616144,nan,99,0,0,18000,11500,0.638889,6000,0,0,21,
outdoor,C2,20,7,900,120,600,1200,1,2,107,11,0.102804,0.0616146,nan,96,0,0,18000,11500,0.638889,6000,0,0,21,
outdoor,C2,20,7,900,120,600,1200,1,3,114,14,0.122807,0.0616143,nan,100,0,0,18000,11500,0.638889,6000,0,0,21,
outdoor,C2,20,7,900,120,600,1200,1,4,111,13,0.117117,0.0616145,nan,97,0,0,18000,11500,0.638889,6000,0,0,21,
outdoor,C2,20,7,900,120,600,1200,1,5,107,12,0.11215,0.0616143,nan,95,0,0,18000,11500,0.638889,6000,0,0,21,
outdoor,C2,20,12,900,120,600,1200,1,1,109,25,0.229358,1.48779,nan,81,0,0,18000,11500,0.638889,6000,0,0,21,
outdoor,C2,20,12,900,120,600,1200,1,2,106,24,0.226415,1.48779,nan,81,0,0,18000,11500,0.638889,6000,0,0,21,
outdoor,C2,20,12,900,120,600,1200,1,3,113,31,0.274336,1.48779,nan,80,0,0,18000,11500,0.638889,6000,0,0,21,
outdoor,C2,20,12,900,120,600,1200,1,4,108,27,0.25,1.48779,nan,80,0,0,18000,11500,0.638889,6000,0,0,21,
outdoor,C2,20,12,900,120,600,1200,1,5,106,26,0.245283,1.48779,nan,80,0,0,18000,11500,0.638889,6000,0,0,21,
